,DEPTH (FT AH),SG (Oil Gravity) @ 60/60F,API,"Viscosity @ SC, cSt","Temp (deg F, res)","Viscosity @ RC, cp",Pressure,"Uob, cp","Uo, cp"
,6989,0.95,17.8,121,126,13,2890,14,14
,6989,0.95,17.8,112.6,126,13,2890,14,14
,6989,0.95,18.3,127.3,126,14,2890,15,15
,6994,0.95,18,114.6,126,13,2890,14,14
,6994,0.95,17.9,113.9,126,13,2890,14,14
,6687,0.95,18,113,121,13,2890,17,19
,6757,0.94,18.4,87,122,10,2890,11,11
,7216,0.92,22.4,124,130,14,2890,15,15
,6784,0.94,18.9,93.8,122,28,2890,15,16
,6784,0.94,19.8,85.7,122,25,2890,14,15
,6736,0.95,17.9,113.5,122,34,2890,17,19
,6774,0.95,17.9,143.2,122,43,2890,20,22
,6775,0.95,17.5,124.2,122,37,2890,18,20
,7255,0.95,17.2,152,130,45,2890,21,23
,6825,0.95,17.4,141,123,43,2890,20,22
,6886,0.94,18.7,123.3,122,37,2955,28,34
,6866,0.94,18.5,87.3,122,26,2955,21,26
,6922,0.95,17.2,162.8,122,48,2955,34,43
,6882,0.94,18.4,87.3,122,26,2955,21,26
,6882,0.95,17.9,120.5,122,36,2955,27,34
,6910,0.95,17.4,129.6,122,38,2955,29,36
,6876,0.95,17.4,129.6,122,38,2955,29,36
,6893,0.95,18.1,117.3,122,35,2955,27,33
,6893,0.95,18,113.4,122,34,2955,26,32
,6885,0.95,17.4,129.8,122,36,2955,29,36
,6914,0.95,17.5,136.2,122,40,2955,30,37
,6914,0.95,17.4,140.1,122,42,2955,31,38
,6822,0.95,17.8,116.9,122,35,2955,26,33
,6839,0.95,17.6,119.9,122,36,2955,27,34
,6906,0.95,18,95.3,122,26,2955,23,28
,6905,0.95,17.7,100.4,122,30,2955,24,29
,6909,0.94,18.6,91.1,122,27,2955,22,27
,7356,0.95,17.8,108.1,122,32,2955,25,31
,7356,0.95,17.9,112.8,122,33,2955,26,32
,7356,0.95,17.7,114.2,122,34,2955,26,32
,6908,0.95,17.2,135.3,122,40,2955,30,37
,6908,0.94,18.7,64.8,122,19,2955,17,21
,6974,0.95,17.4,134.03,125,15,3025,18,20
,6974,0.95,17.3,135.98,125,16.1,3025,18,20
,8144,0.92,22.4,23.6,147,2.6,3515,2.7,2.7
,8703,0.92,22.3,23.5,147,2.6,3515,2.7,2.7
,8140,0.92,28.7,17,147,1.9,3515,2.2,2.2
,8140,0.92,22.4,21.7,147,2.4,3515,2.6,2.6
,8174,0.92,22.3,22.2,147,2.5,3515,2.6,2.6
